Plateau,avg_voltage,G_avg,n_candidate,interesting,R_unknown
131,0.9756464489456266,1.3468656677038156e-06,1,False,322.1625646238159
132,0.6017606600407615,5.049965653948534e-05,1,False,8541.33220040674
133,0.974085984871878,1.446314313928058e-06,1,False,343.35443348345643
134,0.9772098053701471,1.2433786753429421e-06,1,False,300.999285264866
135,0.9802045538915745,1.1043843643760318e-06,1,False,260.64765611380096
136,0.9739589970140932,1.4078538785555593e-06,1,False,345.08197890421997
137,0.9777671681192543,1.2422579578199904e-06,1,False,293.4705865183954
138,0.9770803877238736,1.2271999669783018e-06,1,False,302.74865106224803
139,0.9748805213627756,1.3901335588158988e-06,1,False,332.5557600814453
140,0.6073982027847434,4.951519088526274e-05,1,False,8342.265875361658
141,0.9774740585016843,1.2225176218963155e-06,1,False,297.42875817434054
142,0.9765068534884657,1.2964108206127854e-06,1,False,310.506815875936
143,0.6057124471272131,5.027523856188475e-05,1,False,8401.402954633408
144,0.975460946510981,1.3711921195675921e-06,1,False,324.6782278733141
145,0.9783183026403113,1.2121900638905237e-06,1,False,286.0344520930021
146,0.6018681351536282,5.0792127814375726e-05,1,False,8537.502295307624
147,0.9766138980652107,1.2641446253362897e-06,1,False,309.05813836067114
148,0.9749427599041761,1.4071719580859791e-06,1,False,331.71060940984705
149,0.9789445108963725,1.1632321987768896e-06,1,False,277.595553243239
150,0.6085191881478508,4.993232854101334e-05,1,False,8303.122577867254
151,0.9751334654597293,1.387297064424196e-06,1,False,329.1216489865498
152,0.9792888487104708,1.132322301857605e-06,1,False,272.9597917923407
153,0.9767254225756993,1.275114418635499e-06,1,False,307.5491698403031
154,0.9762644356688419,1.2629947132987422e-06,1,False,313.7887285622425
155,0.9786820069421083,1.1415471295056725e-06,1,False,281.1317906729949
156,0.6148361421269244,4.926676221297526e-05,1,False,8085.211507872132
157,0.9786537791590914,1.171591053291251e-06,1,False,281.5121651211637
158,0.9747346423657449,1.415143322307301e-06,1,False,334.5371056170911
159,0.601373801562833,5.1130904890822795e-05,1,False,8555.129340314315
160,0.9789897744025614,1.157257690765139e-06,1,False,276.9859921949622
161,0.9770140607142821,1.275818494491264e-06,1,False,303.64538695570286
162,0.6109424591074154,4.967189849207508e-05,1,False,8218.996113253512
163,0.9760251828496849,1.2981887302026648e-06,1,False,317.0293911711634
164,0.9733288992032845,1.4529501683929477e-06,1,False,353.66050990413277
165,0.979601897483383,1.1114722681852892e-06,1,False,268.74809764520717
166,0.610123483198471,4.867016711893426e-05,1,False,8247.352985287775
167,0.9769607276374819,1.266154415958397e-06,1,False,304.3665342281962
168,0.9758759079527606,1.317281732712643e-06,1,False,319.0521141424027
169,0.9781803517120696,1.1775832999686417e-06,1,False,287.89495674304584
170,0.9760251303337976,1.2851907914735426e-06,1,False,317.03010266956704
171,0.5943609078657215,5.127658718930021e-05,1,False,8808.355028620726
172,0.9751357541661081,1.3695593768422144e-06,1,False,329.0905843565944
